"키","명칭","행정시","행정구","행정동"
"BE_IW16-0908","Choegojip Restaurant","Seoul","Seocho-gu","Seocho3-dong"
"BE_IW16-0909","Choegojip Hand-rolled Noodle","Seoul","Eunpyeong-gu","Yeokchon-dong"
"BE_IW16-0910","Chupungnyeong Gamjatang","Seoul","Gangdong-gu","Seongnae2-dong"
"BE_IW16-0911","Chupungnyeong Gamjatang","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong"
"BE_IW16-0912","Chunjane Daegutang","Seoul","Mapo-gu","Seogyo-dong"
"BE_IW16-0913","Chuchunok","Seoul","Geumcheon-gu","Gasan-dong"
"BE_IW16-0914","Chuncheon Wang Spicy Grilled Chicken","Seoul","Dongdaemun-gu","Hoegi-dong"
"BE_IW16-0915","Chuncheonjip","Seoul","Jongno-gu","Pyeongchang-dong"
"BE_IW16-0916","Chuncheonjip","Seoul","Yangcheon-gu","Mok1-dong"
"BE_IW16-0917","Chunhachudong","Seoul","Yongsan-gu","Hyochang-dong"
"BE_IW16-0918","Chunhachudong","Seoul","Eunpyeong-gu","Jingwan-dong"
"BE_IW16-0919","Chunhachudong","Seoul","Seocho-gu","Seocho2-dong"
"BE_IW16-0920","Chunhyanggol Namwon Loach Soup","Seoul","Songpa-gu","Garakbon-dong"
"BE_IW16-0921","Chungmuro Jjukkumi Bulgogi","Seoul","Jung-gu","Pil-dong"
"BE_IW16-0922","Kogii Kogii","Seoul","Gangnam-gu","Apgujeong-dong"
"BE_IW16-0923","Cobaco","Seoul","Gangnam-gu","Daechi2-dong"
"BE_IW16-0924","Bean Sprout and Rice Soup","Seoul","Gangnam-gu","Gaepo4-dong"
"BE_IW16-0925","Kong Sarang","Seoul","Jongno-gu","Gahoe-dong"
"BE_IW16-0926","Koo Dining","Seoul","Gangnam-gu","Cheongdam-dong"
"BE_IW16-0927","Keunbawi","Seoul","Eunpyeong-gu","Daejo-dong"
"BE_IW16-0928","Keunjip","Seoul","Gangnam-gu","Daechi2-dong"
"BE_IW16-0929","Taeneung Charcoal Grilled Galbi Restaurant","Seoul","Seongdong-gu","Yongdap-dong"
"BE_IW16-0930","Taean Fresh Fish Market","Seoul","Eunpyeong-gu","Bulgwang2-dong"
"BE_IW16-0931","Taepyeong-yang Fresh Fish Market","Seoul","Songpa-gu","Jangji-dong"
"BE_IW16-0932","Supermarket","Seoul","Gangbuk-gu","Beon1-dong"
"BE_IW16-0933","Todam","Seoul","Jung-gu","Gwanghui-dong"
"BE_IW16-0934","Todam","Seoul","Mapo-gu","Daheung-dong"
"BE_IW16-0935","Todam","Seoul","Gangbuk-gu","Songjung-dong"
"BE_IW16-0936","Todam","Seoul","Gwanak-gu","Daehak-dong"
"BE_IW16-0937","Todam","Seoul","Gwanak-gu","Daehak-dong"
"BE_IW16-0938","Todamgol","Seoul","Yangcheon-gu","Sinjeong1-dong"
"BE_IW16-0939","Todamgol","Seoul","Geumcheon-gu","Siheung1-dong"
"BE_IW16-0940","Tobang","Seoul","Eunpyeong-gu","Eungam1-dong"
"BE_IW16-0941","Tobang","Seoul","Gangbuk-gu","Insu-dong"
"BE_IW16-0942","Tobang","Seoul","Songpa-gu","Pungnap2-dong"
"BE_IW16-0943","Tosokcjeong","Seoul","Eunpyeong-gu","Jingwan-dong"
"BE_IW16-0944","Tosokchon","Seoul","Seodaemun-gu","Yeonhui-dong"
"BE_IW16-0945","Tojong Noodle & Blood Sausage Stew","Seoul","Eunpyeong-gu","Eungam1-dong"
"BE_IW16-0946","Tongnamujip","Seoul","Eunpyeong-gu","Bulgwang1-dong"
"BE_IW16-0947","Tongnamujip","Seoul","Seocho-gu","Naegok-dong"
"BE_IW16-0948","Tongnamujip","Seoul","Dobong-gu","Ssangmun3-dong"
"BE_IW16-0949","Tongnamujip","Seoul","Yangcheon-gu","Mok2-dong"
"BE_IW16-0950","Tong-yeong Rice with Oysters","Seoul","Jungnang-gu","Junghwa2-dong"
"BE_IW16-0951","Tong-yeong Rice with Oysters","Seoul","Songpa-gu","Songpa1-dong"
"BE_IW16-0952","Tong-yeong Rice with Oysters","Seoul","Gangnam-gu","Yeoksam1-dong"
"BE_IW16-0953","Toit-maru Bapsang","Seoul","Songpa-gu","Munjeong1-dong"
"BE_IW16-0954","Paldo","Seoul","Nowon-gu","Gongneung1-dong"
"BE_IW16-0955","Pyeongyang Myeonok","Seoul","Seongbuk-gu","Seokgwan-dong"
"BE_IW16-0956","Pyeongchang Galbi","Seoul","Gangnam-gu","Suseo-dong"
"BE_IW16-0957","Podo Sikdang","Seoul","Gangnam-gu","Sinsa-dong"
"BE_IW16-0958","Podocheong Restaurant","Seoul","Songpa-gu","Jangji-dong"
"BE_IW16-0959","Pureunbada","Seoul","Yongsan-gu","Hannam-dong"
"BE_IW16-0960","Pujuok","Seoul","Yangcheon-gu","Sinjeong3-dong"
"BE_IW16-0961","Pujuok","Seoul","Yeongdeungpo-gu","Daerim3-dong"
"BE_IW16-0962","Pujimhanjip","Seoul","Geumcheon-gu","Doksan1-dong"
"BE_IW16-0963","Pulhyanggi","Seoul","Yongsan-gu","Hannam-dong"
"BE_IW16-0964","Punggyeong","Seoul","Gangbuk-gu","Ui-dong"
"BE_IW16-0965","Pungnyeon Galbi Restaurant","Seoul","Songpa-gu","Garak1-dong"
"BE_IW16-0966","Pungnyun Myeongjeol","Seoul","Eunpyeong-gu","Eungam3-dong"
"BE_IW16-0967","Pungcheon Fresh Water Eel Restaurant","Seoul","Gangnam-gu","Gaepo4-dong"
"BE_IW16-0968","Pungcheon Eel Restaurant","Seoul","Gangdong-gu","Godeok1-dong"
"BE_IW16-0969","Pungcheon Eel Restaurant","Seoul","Nowon-gu","Sanggye3.4-dong"
"BE_IW16-0970","Pungcheon Eel Restaurant","Seoul","Yongsan-gu","Yongmun-dong"
"BE_IW16-0971","Pungcheon Eel Restaurant","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong"
"BE_IW16-0972","Pungcheon Eel Restaurant","Seoul","Gangnam-gu","Nonhyeon1-dong"
"BE_IW16-0973","Pro Ganjang Gejang (Pro Soy Crab)","Seoul","Seocho-gu","Jamwon-dong"
"BE_IW16-0974","Pro Ganjang Gejang (Pro Soy Crab) Samsung Coex Shop","Seoul","Gangnam-gu","Samseong1-dong"
"BE_IW16-0975","Piyang Halmeoni","Seoul","Gangnam-gu","Yeoksam1-dong"
