"","country","purpose","favact","favplace1","favplace2","favplace3","sitem1","sitem2","sitem3","splace1","splace2","splace3","expense","sex","age","year"
"1","태국","여가, 위락, 개별휴가","쇼핑","한라산","성산일출봉","동대문시장","향수, 화장품","인삼, 한약재",NA,"동대문시장","이태원시장",NA,1064,"남자","41~50세",2014
"2","태국","여가, 위락, 개별휴가","테마파크","남산/ N 서울타워","성산일출봉","거문오름용암동굴계","향수, 화장품","시계","김치","시내면세점","이태원시장","명동",912,"남자","41~50세",2014
"3","태국","여가, 위락, 개별휴가","쇼핑","한라산","강릉 (경포대/ 정동진)","남대문시장","신발류","향수, 화장품",NA,"한국내 공항면세점","동대문시장","명동",912,"여자","21~30세",2014
"4","태국","여가, 위락, 개별휴가","공연, 민속행사, 축제참가 및 관람","고궁","남산/ N 서울타워","명동","의류","향수, 화장품","보석/ 악세서리","시내면세점","백화점","남대문시장",973,"남자","21~30세",2014
"5","태국","여가, 위락, 개별휴가","고궁/ 역사 유적지 방문","동대문시장","명동","춘천 (남이섬)","의류","향수, 화장품",NA,"남대문시장","동대문시장","명동",1277,"여자","51~60세",2014
"6","태국","여가, 위락, 개별휴가","자연경관 감상","스키장 (용평 리조트/ 피닉스 파크/ 비발디 파크)","춘천 (남이섬)","남대문시장","신발류","김치",NA,"시내면세점","명동","소규모상점",851,"남자","41~50세",2014
"7","태국","여가, 위락, 개별휴가","공연, 민속행사, 축제참가 및 관람","동대문시장","명동","강남역","신발류","음반, DVD","스타관련상품","명동","소규모상점","할인점 (이마트, 홈플러스 등)",274,"여자","31~40세",2014
"8","태국","여가, 위락, 개별휴가","업무 수행","명동","인사동","동대문시장","신발류","향수, 화장품","김치","시내면세점","동대문시장","명동",1672,"남자","21~30세",2014
"9","태국","여가, 위락, 개별휴가","휴양, 휴식","기타","명동","인사동","의류","향수, 화장품","식료품","백화점","명동","인사동",1611,"여자","31~40세",2014
"10","태국","여가, 위락, 개별휴가","자연경관 감상","이태원","기타","남대문시장","의류","향수, 화장품","식료품","이태원시장","명동","인사동",3891,"남자","21~30세",2014
"11","태국","여가, 위락, 개별휴가","쇼핑","기타","남대문시장","인사동","의류","향수, 화장품","식료품","시내면세점","동대문시장","명동",1429,"여자","21~30세",2014
"12","태국","쇼핑","쇼핑","인사동","강남역","북촌/ 삼청동","신발류","향수, 화장품","식료품","한국내 공항면세점","명동","인사동",638,"여자","21~30세",2014
"13","태국","여가, 위락, 개별휴가","쇼핑","남산/ N 서울타워","인사동","명동","신발류","의류","시계","시내면세점","명동","할인점 (이마트, 홈플러스 등)",1064,"남자","41~50세",2014
"14","태국","여가, 위락, 개별휴가","온천, 스파","인사동","명동","춘천 (남이섬)","실크, 섬유류","김치","음반, DVD","남대문시장","동대문시장","명동",1064,"여자","41~50세",2014
"15","태국","여가, 위락, 개별휴가","쇼핑","이태원","남대문시장","인사동","피혁제품","향수, 화장품","시계","한국내 공항면세점","시내면세점","명동",973,"남자","31~40세",2014
"16","태국","여가, 위락, 개별휴가","쇼핑","명동","신촌/ 홍대주변","고궁","신발류","의류","향수, 화장품","시내면세점","명동",NA,365,"남자","21~30세",2014
"17","태국","여가, 위락, 개별휴가","시티투어 버스 이용","에버랜드/ 캐리비안베이","고궁","박물관 (기념관)","향수, 화장품","식료품","음반, DVD","시내면세점","동대문시장","이태원시장",821,"남자","21~30세",2014
"18","태국","쇼핑","쇼핑","고궁","명동","남대문시장","향수, 화장품","김치","식료품","동대문시장","명동","인사동",1307,"남자","31~40세",2014
"19","태국","쇼핑","쇼핑","춘천 (남이섬)","고궁","명동","신발류","향수, 화장품","전자, 전기제품","시내면세점","동대문시장","명동",1566,"여자","31~40세",2014
"20","태국","여가, 위락, 개별휴가","자연경관 감상","스키장 (용평 리조트/ 피닉스 파크/ 비발디 파크)","춘천 (남이섬)","거제 (바람의 언덕, 외도)","의류","향수, 화장품","식료품","시내면세점","동대문시장","명동",1064,"여자","31~40세",2014
"21","태국","여가, 위락, 개별휴가","자연경관 감상","스키장 (용평 리조트/ 피닉스 파크/ 비발디 파크)","미륵도","인사동","향수, 화장품","인삼, 한약재","식료품","이태원시장","명동","인사동",1003,"남자","51~60세",2014
"22","태국","여가, 위락, 개별휴가","자연경관 감상","남대문시장","고궁","춘천 (남이섬)","신발류","향수, 화장품","인삼, 한약재","한국내 공항면세점","시내면세점","명동",912,"남자","31~40세",2014
"23","태국","교육","쇼핑","남대문시장","명동",NA,"신발류","의류","향수, 화장품","백화점","남대문시장","명동",3649,"여자","15~20세",2014
"24","태국","여가, 위락, 개별휴가","고궁/ 역사 유적지 방문","명동","남대문시장","잠실 (롯데월드)","의류","향수, 화장품","자기, 도자기","한국내 공항면세점","명동","소규모상점",2128,"여자","15~20세",2014
"25","태국","여가, 위락, 개별휴가","쇼핑","고궁","박물관 (기념관)","잠실 (롯데월드)","향수, 화장품","인삼, 한약재","김치","시내면세점","동대문시장","명동",912,"남자","31~40세",2014
