,country,purpose,favact,favplace1,favplace2,favplace3,sitem1,sitem2,sitem3,splace1,splace2,splace3,expense,sex,age,year
2,태국,"여가, 위락, 개별휴가",쇼핑,한라산,강릉 (경포대/ 정동진),남대문시장,신발류,"향수, 화장품",,한국내 공항면세점,동대문시장,명동,912.0,female,21-30,2014
6,태국,"여가, 위락, 개별휴가","공연, 민속행사, 축제참가 및 관람",동대문시장,명동,강남역,신발류,"음반, DVD",스타관련상품,명동,소규모상점,"할인점 (이마트, 홈플러스 등)",274.0,female,31-40,2014
8,태국,"여가, 위락, 개별휴가","휴양, 휴식",기타,명동,인사동,의류,"향수, 화장품",식료품,백화점,명동,인사동,1611.0,female,31-40,2014
10,태국,"여가, 위락, 개별휴가",쇼핑,기타,남대문시장,인사동,의류,"향수, 화장품",식료품,시내면세점,동대문시장,명동,1429.0,female,21-30,2014
11,태국,쇼핑,쇼핑,인사동,강남역,북촌/ 삼청동,신발류,"향수, 화장품",식료품,한국내 공항면세점,명동,인사동,638.0,female,21-30,2014
18,태국,쇼핑,쇼핑,춘천 (남이섬),고궁,명동,신발류,"향수, 화장품","전자, 전기제품",시내면세점,동대문시장,명동,1566.0,female,31-40,2014
19,태국,"여가, 위락, 개별휴가",자연경관 감상,스키장 (용평 리조트/ 피닉스 파크/ 비발디 파크),춘천 (남이섬),"거제 (바람의 언덕, 외도)",의류,"향수, 화장품",식료품,시내면세점,동대문시장,명동,1064.0,female,31-40,2014
26,태국,"여가, 위락, 개별휴가",테마파크,명동,에버랜드/ 캐리비안베이,신촌/ 홍대주변,"향수, 화장품","음반, DVD",,백화점,명동,소규모상점,742.0,female,21-30,2014
28,태국,"여가, 위락, 개별휴가","박물관, 전시관 방문",고궁,강남역,한옥마을 (남산),의류,"향수, 화장품","인삼, 한약재",시내면세점,명동,소규모상점,4256.0,female,31-40,2014
29,태국,"여가, 위락, 개별휴가",자연경관 감상,고궁,남산/ N 서울타워,명동,"인삼, 한약재",스타관련상품,,시내면세점,명동,,1885.0,female,31-40,2014
30,태국,"여가, 위락, 개별휴가",자연경관 감상,남산/ N 서울타워,한옥마을 (남산),고궁,"향수, 화장품",김치,주류,남대문시장,동대문시장,명동,1216.0,female,21-30,2014
32,태국,"여가, 위락, 개별휴가",스포츠활동,스키장 (지산/ 양지/ 베어스 타운),에버랜드/ 캐리비안베이,명동,"향수, 화장품",보석/ 악세서리,김치,시내면세점,동대문시장,명동,8208.0,female,31-40,2014
33,태국,"여가, 위락, 개별휴가",시티투어 버스 이용,명동,동대문시장,인사동,피혁제품,신발류,"향수, 화장품",백화점,동대문시장,명동,2128.0,female,31-40,2014
34,태국,"여가, 위락, 개별휴가","박물관, 전시관 방문",남산/ N 서울타워,명동,동대문시장,의류,"향수, 화장품",보석/ 악세서리,시내면세점,동대문시장,명동,6351.0,female,31-40,2014
35,태국,"여가, 위락, 개별휴가",테마파크,명동,강남역,춘천 (남이섬),"향수, 화장품","인삼, 한약재","인형, 장남감, 게임기",동대문시장,명동,소규모상점,1426.0,female,21-30,2014
36,태국,"여가, 위락, 개별휴가",유흥/ 오락,명동,동대문시장,잠실 (롯데월드),의류,"향수, 화장품","인삼, 한약재",백화점,동대문시장,명동,1262.0,female,21-30,2014
38,태국,"여가, 위락, 개별휴가",스포츠활동,동대문시장,부천 (웅진 플레이 도시),이태원,"향수, 화장품",보석/ 악세서리,시계,남대문시장,이태원시장,명동,1277.0,female,21-30,2014
44,태국,"여가, 위락, 개별휴가",쇼핑,고궁,명동,남산/ N 서울타워,"향수, 화장품","인삼, 한약재",식료품,한국내 공항면세점,시내면세점,명동,3040.0,female,21-30,2014
45,태국,"여가, 위락, 개별휴가",고궁/ 역사 유적지 방문,고궁,이태원,박물관 (기념관),신발류,의류,"향수, 화장품",시내면세점,동대문시장,이태원시장,425.0,female,21-30,2014
46,태국,"여가, 위락, 개별휴가",쇼핑,명동,인사동,가로수길,"향수, 화장품","인삼, 한약재",김치,남대문시장,동대문시장,,1353.0,female,31-40,2014
47,태국,"여가, 위락, 개별휴가",쇼핑,인사동,명동,남대문시장,의류,보석/ 악세서리,"인삼, 한약재",남대문시장,동대문시장,이태원시장,6536.0,female,31-40,2014
48,태국,"여가, 위락, 개별휴가",스포츠활동,고궁,인사동,명동,신발류,의류,"향수, 화장품",한국내 공항면세점,동대문시장,명동,1793.0,female,21-30,2014
49,태국,"여가, 위락, 개별휴가",쇼핑,고궁,남산/ N 서울타워,명동,의류,보석/ 악세서리,"전통민예품,  칠기,  목각제품",한국내 공항면세점,동대문시장,,,female,21-30,2014
50,태국,"여가, 위락, 개별휴가",쇼핑,고궁,남산/ N 서울타워,인사동,의류,"향수, 화장품",보석/ 악세서리,한국내 공항면세점,동대문시장,명동,1307.0,female,21-30,2014
51,태국,"여가, 위락, 개별휴가",쇼핑,고궁,명동,남산/ N 서울타워,"향수, 화장품","음반, DVD",,백화점,동대문시장,명동,1149.0,female,31-40,2014
52,태국,"여가, 위락, 개별휴가",테마파크,고궁,남산/ N 서울타워,박물관 (기념관),의류,"향수, 화장품",,동대문시장,이태원시장,명동,1696.0,female,31-40,2014
53,태국,"여가, 위락, 개별휴가",쇼핑,고궁,남산/ N 서울타워,동대문시장,피혁제품,의류,보석/ 악세서리,한국내 공항면세점,동대문시장,,881.0,female,21-30,2014
58,태국,쇼핑,쇼핑,남산/ N 서울타워,고궁,동대문시장,의류,"향수, 화장품",주류,백화점,명동,소규모상점,912.0,female,21-30,2014
59,태국,쇼핑,쇼핑,남대문시장,춘천 (남이섬),이태원,피혁제품,"실크, 섬유류",신발류,백화점,동대문시장,이태원시장,2121.0,female,31-40,2014
63,태국,쇼핑,쇼핑,명동,남산/ N 서울타워,동대문시장,의류,"향수, 화장품",식료품,남대문시장,동대문시장,명동,1819.0,female,21-30,2014
64,태국,사업 또는 전문 활동,시티투어 버스 이용,명동,강남역,남대문시장,신발류,의류,"향수, 화장품",한국내 공항면세점,백화점,명동,1061.0,female,21-30,2014
65,태국,"여가, 위락, 개별휴가",시티투어 버스 이용,남산/ N 서울타워,동대문시장,고궁,신발류,의류,,남대문시장,명동,,2879.0,female,21-30,2014
66,태국,"친구, 친지 방문","박물관, 전시관 방문",한옥마을 (남산),남산/ N 서울타워,명동,"향수, 화장품",,,백화점,명동,,443.0,female,21-30,2014
67,태국,"친구, 친지 방문",시티투어 버스 이용,동대문시장,청계천/ 광화문광장,신촌/ 홍대주변,신발류,의류,"향수, 화장품",동대문시장,명동,"할인점 (이마트, 홈플러스 등)",242.0,female,21-30,2014
70,태국,"여가, 위락, 개별휴가",쇼핑,명동,잠실 (롯데월드),송도,"향수, 화장품","인삼, 한약재",,동대문시장,명동,,2030.0,female,31-40,2014
72,태국,"여가, 위락, 개별휴가",자연경관 감상,명동,남산/ N 서울타워,청계천/ 광화문광장,의류,"향수, 화장품",식료품,한국내 공항면세점,명동,소규모상점,303.0,female,31-40,2014
73,태국,"여가, 위락, 개별휴가","휴양, 휴식",명동,남산/ N 서울타워,설악산,"향수, 화장품","인삼, 한약재",식료품,동대문시장,인사동,소규모상점,758.0,female,21-30,2014
74,태국,"여가, 위락, 개별휴가",쇼핑,남산/ N 서울타워,,,의류,"향수, 화장품","인삼, 한약재",한국내 공항면세점,시내면세점,명동,910.0,female,21-30,2014
75,태국,"여가, 위락, 개별휴가",쇼핑,명동,남산/ N 서울타워,동대문시장,의류,"향수, 화장품",식료품,시내면세점,이태원시장,명동,606.0,female,21-30,2014
78,태국,쇼핑,쇼핑,명동,인사동,동대문시장,의류,"향수, 화장품",식료품,시내면세점,동대문시장,명동,758.0,female,21-30,2014
79,태국,"여가, 위락, 개별휴가",쇼핑,스키장 (용평 리조트/ 피닉스 파크/ 비발디 파크),에버랜드/ 캐리비안베이,고궁,피혁제품,신발류,의류,한국내 공항면세점,동대문시장,명동,2715.0,female,31-40,2014
81,태국,"여가, 위락, 개별휴가",쇼핑,동대문시장,고궁,남산/ N 서울타워,"향수, 화장품",시계,"음반, DVD",백화점,동대문시장,명동,1810.0,female,21-30,2014
85,태국,"여가, 위락, 개별휴가",쇼핑,춘천 (남이섬),고궁,동대문시장,의류,"향수, 화장품",김치,한국내 공항면세점,시내면세점,동대문시장,758.0,female,31-40,2014
86,태국,"여가, 위락, 개별휴가",쇼핑,스키장 (용평 리조트/ 피닉스 파크/ 비발디 파크),고궁,명동,의류,"향수, 화장품",,명동,,,0.0,female,31-40,2014
88,태국,"여가, 위락, 개별휴가",쇼핑,명동,춘천 (남이섬),동대문시장,"향수, 화장품","인형, 장남감, 게임기","전통민예품,  칠기,  목각제품",한국내 공항면세점,백화점,남대문시장,758.0,female,21-30,2014
91,태국,"여가, 위락, 개별휴가",쇼핑,명동,남산/ N 서울타워,춘천 (남이섬),의류,"향수, 화장품",,명동,,,788.0,female,21-30,2014
92,태국,"여가, 위락, 개별휴가",쇼핑,명동,춘천 (남이섬),스키장 (용평 리조트/ 피닉스 파크/ 비발디 파크),의류,"향수, 화장품",김치,시내면세점,명동,소규모상점,757.0,female,31-40,2014
94,태국,"여가, 위락, 개별휴가",자연경관 감상,춘천 (남이섬),동대문시장,고궁,의류,"향수, 화장품",,한국내 공항면세점,명동,,788.0,female,31-40,2014
96,태국,"여가, 위락, 개별휴가",쇼핑,명동,춘천 (남이섬),스키장 (용평 리조트/ 피닉스 파크/ 비발디 파크),"향수, 화장품","인삼, 한약재",김치,한국내 공항면세점,동대문시장,명동,909.0,female,31-40,2014
97,태국,"여가, 위락, 개별휴가",스포츠활동,에버랜드/ 캐리비안베이,명동,남산/ N 서울타워,"향수, 화장품",,,한국내 공항면세점,동대문시장,명동,0.0,female,21-30,2014
98,태국,"여가, 위락, 개별휴가","휴양, 휴식",명동,에버랜드/ 캐리비안베이,춘천 (남이섬),신발류,"향수, 화장품","인삼, 한약재",동대문시장,명동,,1811.0,female,21-30,2014
106,태국,"여가, 위락, 개별휴가",쇼핑,에버랜드/ 캐리비안베이,명동,춘천 (남이섬),피혁제품,신발류,"향수, 화장품",한국내 공항면세점,시내면세점,명동,0.0,female,31-40,2014
107,태국,"여가, 위락, 개별휴가",쇼핑,명동,춘천 (남이섬),고궁,피혁제품,신발류,"향수, 화장품",한국내 공항면세점,백화점,명동,1516.0,female,21-30,2014
110,태국,"여가, 위락, 개별휴가",스포츠활동,스키장 (지산/ 양지/ 베어스 타운),에버랜드/ 캐리비안베이,명동,의류,,,소규모상점,,,454.0,female,21-30,2014
112,태국,쇼핑,쇼핑,명동,스키장 (용평 리조트/ 피닉스 파크/ 비발디 파크),춘천 (남이섬),의류,"향수, 화장품","인삼, 한약재",한국내 공항면세점,이태원시장,명동,1634.0,female,21-30,2014
