,ctr,tour,cb,ob,study,ect,total,yoy,growth,ratio,date,season
1,일본,164038,2564,81,720,4674,172077,206474,-16.7,20.4,2014-01,winter
2,대만,44459,40,10,72,701,45282,45171,0.2,5.4,2014-01,winter
3,홍콩,34232,45,2,43,755,35077,24208,44.9,4.2,2014-01,winter
4,마카오,2418,0,0,4,14,2436,1718,41.8,0.3,2014-01,winter
5,태국,28365,59,161,60,5782,34427,33785,1.9,4.1,2014-01,winter
6,말레이시아,11114,163,5,63,1423,12768,9544,33.8,1.5,2014-01,winter
7,필리핀,7103,316,94,130,17723,25366,25710,-1.3,3.0,2014-01,winter
8,인도네시아,6711,286,19,96,4659,11771,10675,10.3,1.4,2014-01,winter
9,싱가포르,7174,146,3,40,1642,9005,6984,28.9,1.1,2014-01,winter
10,미얀마,1030,28,10,16,3633,4717,5085,-7.2,0.6,2014-01,winter
11,베트남,2318,289,47,161,2846,5661,5155,9.8,0.7,2014-01,winter
12,인도,1967,2083,18,95,4369,8532,6870,24.2,1.0,2014-01,winter
13,스리랑카,141,21,3,18,1092,1275,1045,22.0,0.2,2014-01,winter
14,파키스탄,131,159,2,55,272,619,648,-4.5,0.1,2014-01,winter
15,방글라데시,108,101,8,31,484,732,750,-2.4,0.1,2014-01,winter
16,캄보디아,423,48,18,30,949,1468,1355,8.3,0.2,2014-01,winter
17,몽골,4493,259,192,152,380,5476,5941,-7.8,0.6,2014-01,winter
18,중국,230706,3562,86,2460,59894,296708,196371,51.1,35.2,2014-01,winter
19,이란,63,119,2,14,33,231,258,-10.5,0.0,2014-01,winter
20,이스라엘,815,5,0,1,26,847,979,-13.5,0.1,2014-01,winter
21,터키,592,15,23,20,665,1315,1358,-3.2,0.2,2014-01,winter
22,우즈베키스탄,886,562,0,42,1915,3405,3047,11.7,0.4,2014-01,winter
23,카자흐스탄,674,66,3,63,252,1058,731,44.7,0.1,2014-01,winter
24,GCC,945,96,8,104,132,1285,1109,15.9,0.2,2014-01,winter
25,아시아 기타,863,378,50,90,1148,2529,2447,3.4,0.3,2014-01,winter
27,미국,32773,1072,1639,188,14675,50347,49071,2.6,6.0,2014-01,winter
28,캐나다,5649,131,7,28,3418,9233,9243,-0.1,1.1,2014-01,winter
29,멕시코,331,10,5,34,201,581,731,-20.5,0.1,2014-01,winter
30,브라질,629,42,1,131,230,1033,902,14.5,0.1,2014-01,winter
31,미주 기타,737,55,8,72,466,1338,1421,-5.8,0.2,2014-01,winter
33,영국,7516,777,17,31,2629,10970,9364,17.2,1.3,2014-01,winter
34,독일,5095,271,16,118,1640,7140,7424,-3.8,0.8,2014-01,winter
