"구분별(1)",구분별(2),2012,2013,2014,2015,2016,2017,2018,2019
"한국여행중 서울방문",소계,82.5,80.9,80.4,78.7,78.0,78.8,79.4,76.4
"서울 내 방문지",명동,74.5,72.8,77.6,77.1,81.1,78.4,-,-
"서울 내 방문지",남대문시장,38.5,32.8,27.8,29.0,29.0,31.4,-,-
"서울 내 방문지",명동/남대문/북창,-,-,-,-,-,-,88.2,88.2
"서울 내 방문지",동대문 패션타운,59.4,56.6,61.9,60.3,62.3,56.8,61.0,58.4
"서울 내 방문지",종로/청계,-,-,-,-,-,-,37.6,39.6
"서울 내 방문지",신촌/홍대주변,20.0,24.2,29.9,29.1,33.2,31.2,35.6,39.1
"서울 내 방문지",강남역,-,-,22.9,23.1,27.1,28.3,27.8,28.2
"서울 내 방문지",이태원,21.4,21.6,-,-,-,22.5,23.8,22.0
"서울 내 방문지",잠실(롯데월드),28.2,30.0,23.6,23.4,23.9,-,22.4,23.4
"서울 내 방문지",코엑스,-,-,-,-,-,-,12.4,13.9
"서울 내 방문지",시청/광화문광장,-,-,-,-,-,-,11.5,15.3
"서울 내 방문지",한강/유람선,-,-,-,-,-,-,10.9,12.6
"서울 내 방문지",가로수길,-,-,-,-,-,-,9.5,9.2
"서울 내 방문지",고궁,39.1,39.1,43.5,44.3,38.6,39.0,-,-
"서울 내 방문지",남산/N서울타워,35.0,31.6,42.5,40.7,43.1,36.6,-,-
"서울 내 방문지",인사동,31.7,29.4,30.3,25.8,28.0,24.8,-,-
"서울 내 방문지",박물관(기념관),27.1,25.2,21.9,26.7,24.3,21.2,-,-
